striker,player_name,batting_hand,total_runs,top_score,hundreds,fiftys,matches,average,total_balls,total_six,total_four,strike_rate
266,AL Menaria,Left-hand bat,401,40,0,0,23,17.43,367,18,24,109.26
267,WD Parnell,Left-hand bat,63,16,0,0,12,5.25,80,1,4,78.75
268,JJ van der Wath,Right-hand bat,18,14,0,0,3,6,17,1,1,105.88
269,R Ninan,Right-hand bat,3,3,0,0,1,3,6,0,0,50
270,S Aravind,Left-hand bat,59,14,0,0,10,5.9,59,0,7,100
271,MS Wade,Left-hand bat,22,11,0,0,3,7.33,33,0,0,66.67
272,TD Paine,Right-hand bat,10,8,0,0,2,5,29,0,0,34.48
273,SB Wagh,Left-hand bat,2,2,0,0,2,1,3,0,0,66.67
274,AC Thomas,Right-hand bat,20,12,0,0,4,5,19,1,1,105.26
275,JEC Franklin,Left-hand bat,321,79,0,1,16,20.06,309,8,25,103.88
276,Shakib Al Hasan,Left-hand bat,500,66,0,2,32,15.63,401,15,44,124.69
277,DH Yagnik,Left-hand bat,170,34,0,0,17,10,142,2,23,119.72
278,S Randiv,Right-hand bat,2,2,0,0,1,2,4,0,0,50
279,BJ Haddin,Right-hand bat,18,18,0,0,1,18,11,1,2,163.64
280,NLTC Perera,Left-hand bat,423,40,0,0,30,14.1,325,26,23,130.15
281,NL McCullum,Right-hand bat,26,15,0,0,2,13,23,1,0,113.04
282,JE Taylor,Right-hand bat,3,2,0,0,2,1.5,4,0,0,75
283,J Syed Mohammad,Left-hand bat,29,13,0,0,5,5.8,27,0,4,107.41
284,RN ten Doeschate,Right-hand bat,326,70,0,1,21,15.52,238,15,26,136.97
285,TR Birt,Left-hand bat,75,27,0,0,5,15,59,2,9,127.12
286,AG Murtaza,Left-hand bat,10,5,0,0,3,3.33,14,0,1,71.43
287,Harpreet Singh,Left-hand bat,20,13,0,0,3,6.67,26,0,0,76.92
288,M Klinger,Right-hand bat,73,29,0,0,4,18.25,78,0,9,93.59
289,AC Blizzard,Left-hand bat,120,51,0,1,7,17.14,91,2,21,131.87
290,I Malhotra,Right-hand bat,7,7,0,0,1,7,4,0,1,175
291,L Ablish,Right-hand bat,0,0,0,0,1,0,2,0,0,0
292,CA Ingram,Left-hand bat,21,13,0,0,3,7,26,0,2,80.77
293,S Nadeem,Right-hand bat,26,6,0,0,16,1.63,71,0,1,36.62
294,P Parameswaran,Right-hand bat,1,1,0,0,2,0.5,3,0,0,33.33
295,CJ Ferguson,Right-hand bat,98,23,0,0,8,12.25,119,0,9,82.35
296,VR Aaron,Right-hand bat,46,17,0,0,9,5.11,56,2,2,82.14
297,AA Chavan,Left-hand bat,12,7,0,0,3,4,11,0,2,109.09
298,ND Doshi,Right-hand bat,0,0,0,0,1,0,13,0,0,0
299,B Kumar,Right-hand bat,158,24,0,0,33,4.79,160,3,15,98.75
300,Y Gnaneswara Rao,Right-hand bat,19,19,0,0,1,19,18,0,3,105.56
301,S Rana,Right-hand bat,91,19,0,0,8,11.38,82,1,9,110.98
302,BA Bhatt,Left-hand bat,6,6,0,0,2,3,7,1,0,85.71
303,F du Plessis,Right-hand bat,1295,73,0,8,46,28.15,1043,38,110,124.16
304,RE Levi,Right-hand bat,83,50,0,1,6,13.83,74,4,10,112.16
305,GJ Maxwell,Right-hand bat,1229,95,0,6,55,22.35,780,82,96,157.56
306,SPD Smith,Right-hand bat,1713,101,1,5,62,27.63,1333,45,151,128.51
307,MN Samuels,Right-hand bat,161,46,0,0,14,11.5,174,7,9,92.53
308,SA Yadav,Right-hand bat,608,60,0,1,42,14.48,479,21,54,126.93
309,KK Cooper,Right-hand bat,116,32,0,0,12,9.67,70,8,9,165.71
310,JP Faulkner,Right-hand bat,527,46,0,0,45,11.71,406,23,36,129.8
311,HV Patel,Right-hand bat,47,10,0,0,12,3.92,38,3,2,123.68
312,DAJ Bracewell,Right-hand bat,12,12,0,0,1,12,9,0,1,133.33
313,DJ Harris,Right-hand bat,111,47,0,0,4,27.75,103,5,11,107.77
314,Ankit Sharma,Left-hand bat,87,30,0,0,10,8.7,69,4,7,126.09
315,SP Narine,Left-hand bat,271,54,0,1,30,9.03,193,12,36,140.41
316,GB Hogg,Left-hand bat,22,13,0,0,4,5.5,22,0,1,100
317,RR Bhatkal,Right-hand bat,0,0,0,0,1,0,2,0,0,0
