bowler,player_name,runs,wicket_taken,total_balls,total_six,total_four,matches,economy
348,BMAJ Mendis,36,1,30,2,2,30,7.2
349,R Rampaul,299,16,278,14,25,278,6.48
350,CH Morris,1230,54,1042,37,123,1042,7.08
352,SMSM Senanayake,206,9,195,5,17,195,6.36
353,BJ Rohrer,11,0,7,0,2,7,9.42
356,R Dhawan,606,18,513,16,51,513,7.08
357,MG Johnson,1424,60,1168,43,175,1168,7.32
358,LJ Wright,120,2,75,9,5,75,9.6
359,IC Pandey,584,18,469,17,77,469,7.5
362,DJG Sammy,341,11,244,12,33,244,8.4
363,KW Richardson,431,18,326,23,35,326,7.92
364,MM Sharma,2043,83,1566,63,223,1566,7.8
366,Parvez Rasool,268,4,200,11,22,200,8.04
367,Sandeep Sharma,1539,71,1273,54,170,1273,7.26
368,S Kaul,579,22,436,22,50,436,7.98
369,Sachin Baby,8,2,10,0,1,10,4.8
370,PV Tambe,834,28,674,28,64,674,7.44
371,NM Coulter-Nile,696,36,586,20,86,586,7.14
372,CJ Anderson,387,8,259,15,41,259,8.94
374,AR Patel,1513,58,1280,64,99,1280,7.08
375,JJ Bumrah,1364,46,1083,45,123,1083,7.56
376,JDS Neesham,88,1,57,4,9,57,9.24
377,TG Southee,883,22,691,29,91,691,7.68
378,MA Starc,656,34,612,8,77,612,6.42
381,Shivam Sharma,165,4,114,10,9,114,8.7
382,YS Chahal,1532,70,1219,81,89,1219,7.56
383,LMP Simmons,34,1,18,2,2,18,11.34
385,BCJ Cutting,230,7,171,8,22,171,8.1
386,Imran Tahir,962,47,734,52,53,734,7.86
387,BE Hendricks,224,9,157,7,24,157,8.58
388,S Gopal,153,7,116,7,8,116,7.92
389,M de Lange,157,5,116,4,21,116,8.1
390,R Tewatia,137,6,128,8,6,128,6.42
391,JO Holder,294,5,228,11,29,228,7.74
392,Karanveer Singh,312,12,213,19,19,213,8.76
394,DJ Hooda,258,6,201,10,19,201,7.68
395,Anureet Singh,559,17,406,21,61,406,8.28
396,KS Williamson,7,0,6,0,1,6,7.02
397,SA Abbott,55,0,32,1,8,32,10.32
398,J Suchith,359,10,253,15,28,253,8.52
399,RG More,57,1,37,1,5,37,9.24
400,HH Pandya,525,10,375,18,51,375,8.4
401,D Wiese,390,16,289,9,44,289,8.1
403,MJ McClenaghan,1273,54,982,51,139,982,7.8
404,DJ Muthuswami,101,4,84,3,14,84,7.2
405,PJ Cummins,477,17,379,16,47,379,7.56
406,SN Thakur,337,12,259,7,43,259,7.8
408,CR Brathwaite,246,8,181,8,22,181,8.16
409,MP Stoinis,295,10,209,10,30,209,8.46
411,C Munro,15,0,12,1,1,12,7.5
412,P Sahu,144,3,107,5,11,107,8.1
413,KH Pandya,492,16,440,13,33,440,6.72
416,KJ Abbott,170,2,102,4,24,102,10.02
417,TM Head,81,2,48,5,3,48,10.14
418,M Ashwin,234,7,176,12,15,176,7.98
422,KC Cariappa,307,8,211,16,21,211,8.7
424,Swapnil Singh,89,1,61,6,1,61,8.76
425,J Yadav,193,4,183,5,16,183,6.3
429,BB Sran,455,14,345,17,45,345,7.92
430,A Zampa,270,19,225,14,12,225,7.2
431,N Rana,3,0,6,0,0,6,3
432,S Kaushik,291,6,210,14,25,210,8.34
434,CJ Jordan,249,12,188,10,22,188,7.92
435,P Amarnath,236,7,132,7,29,132,10.74
436,B Geeves,86,1,49,1,16,49,10.56
437,Gagandeep Singh,141,3,84,6,14,84,10.08
438,A Nel,31,1,18,2,3,18,10.32
439,AM Salvi,190,7,156,7,18,156,7.32
440,RR Bose,24,0,12,0,5,12,12
441,SS Sarkar,34,1,25,0,4,25,8.16
442,RA Shaikh,11,0,6,0,2,6,10.98
443,C Ganapathy,13,0,6,1,1,6,13.02
444,MB Parmar,32,0,19,0,6,19,10.08
445,AA Kazi,20,0,13,1,1,13,9.24
446,Anand Rajan,188,8,162,8,17,162,6.96
447,P Prasanth,18,0,6,3,0,6,18
448,SS Mundhe,5,1,7,0,1,7,4.26
449,RW Price,33,0,18,2,2,18,10.98
450,TP Sudhindra,132,1,74,9,9,74,10.68
451,BW Hilfenhaus,461,22,390,21,48,390,7.08
452,S Badree,309,11,263,14,28,263,7.02
453,P Suyal,140,2,107,5,16,107,7.86
454,MG Neser,61,0,25,4,6,25,14.64
455,V Shankar,19,0,6,2,1,6,19.02
456,K Santokie,87,3,51,6,6,51,10.26
457,JW Hastings,63,3,61,0,11,61,6.18
458,TA Boult,470,15,355,11,67,355,7.92
459,GS Sandhu,82,1,48,2,8,48,10.26
460,Mustafizur Rahman,444,17,393,12,35,393,6.78
461,AF Milne,166,4,115,5,21,115,8.64
462,Kuldeep Yadav,429,18,324,24,22,324,7.92
